teff,logg,mh,alpha,vmic,vsini,Li,C,N,O,Na,Al,Mg,Si,Ti,K,Ca,Mn,Cr,Ni,S,V,Sc,Ba,La,Eu,Y,Zn,Zr,Cu
7040,4.24,-2.4,0.08,1.7,3,-13.836,-5.626,-6.216,-5.706,-7.816,-7.536,-7.056,-7.176,-9.696,-9.166,-7.766,-8.486,-9.216,-8.156,-7.676,-9.966,-11.006,-12.416,-13.186,-13.446,-11.776,-9.356,-12.216,-10.606
4700,2.02,-2.45,0.12,1.32,3,-13.836,-6.296,-6.546,-5.356,-8.456,-8.316,-6.966,-6.696,-9.616,-9.566,-7.866,-9.176,-8.566,-7.886,-6.896,-10.196,-11.016,-12.686,-13.196,-13.816,-12.106,-10.286,-12.066,-9.976
4030,4.31,-2.47,0.06,0.86,3,-13.836,-5.726,-6.566,-6.256,-8.016,-7.616,-6.796,-7.186,-9.516,-9.376,-8.196,-8.636,-8.686,-8.686,-7.376,-10.206,-11.496,-12.576,-13.086,-14.236,-12.036,-9.786,-12.236,-10.296
4870,1.38,-2.46,-0.29,1.39,3,-13.836,-6.416,-6.296,-6.066,-8.326,-8.466,-7.116,-7.196,-9.676,-9.846,-8.556,-8.616,-9.296,-8.036,-7.016,-10.866,-10.996,-12.326,-13.646,-13.656,-11.906,-9.756,-11.756,-10.176
5140,2.01,-2.4,0.23,1.34,3,-13.836,-6.166,-6.616,-5.256,-8.356,-7.616,-6.486,-6.756,-9.446,-8.876,-8.036,-9.086,-9.116,-8.466,-6.976,-10.336,-11.756,-11.806,-12.856,-14.076,-12.606,-10.096,-11.376,-10.646
5400,0.44,-2.47,0.3,1.59,4,-13.836,-5.676,-6.596,-5.356,-8.046,-7.546,-6.836,-7.406,-9.776,-9.786,-7.676,-8.916,-9.106,-8.726,-7.686,-10.396,-11.306,-12.256,-13.766,-13.986,-11.896,-10.306,-11.716,-10.596
4980,1.77,-2.44,-0.33,1.35,4,-13.836,-5.946,-6.586,-6.106,-7.836,-7.706,-7.356,-7.096,-9.356,-9.766,-8.366,-8.476,-8.476,-8.016,-7.666,-10.866,-10.986,-12.346,-13.266,-14.396,-11.976,-10.346,-11.846,-10.616
5020,0.51,-2.42,0.02,1.49,4,-13.836,-6.226,-6.416,-6.156,-8.146,-8.166,-6.986,-7.246,-9.356,-9.546,-7.996,-8.616,-9.196,-8.086,-7.316,-9.976,-11.716,-12.316,-13.166,-13.536,-12.696,-9.946,-11.456,-10.066
4410,1.07,-2.45,-0.12,1.49,4,-13.836,-5.786,-6.386,-6.156,-8.236,-8.026,-7.156,-6.516,-9.606,-9.796,-8.176,-9.436,-8.976,-8.206,-7.056,-9.996,-11.716,-11.876,-13.626,-13.786,-11.936,-9.476,-11.866,-10.246
4820,1.7,-2.43,0.3,1.35,5,-13.836,-5.636,-6.846,-6.256,-7.816,-7.916,-6.786,-7.276,-9.916,-9.406,-7.666,-8.926,-8.416,-8.406,-7.356,-10.656,-10.936,-12.316,-13.146,-14.216,-12.026,-9.336,-11.376,-9.986
4040,1.38,-2.45,-0.03,1.6,5,-13.836,-6.506,-6.446,-5.336,-7.946,-7.706,-6.506,-7.386,-9.646,-9.676,-8.636,-8.786,-8.406,-8.436,-7.666,-10.206,-11.236,-12.386,-12.916,-13.636,-12.596,-10.306,-12.206,-10.566
5270,1.04,-2.43,-0.05,1.48,5,-13.836,-6.496,-6.176,-5.886,-8.096,-7.666,-7.346,-6.456,-10.006,-9.186,-7.806,-9.236,-8.506,-8.536,-7.206,-10.226,-11.766,-12.566,-13.596,-14.316,-11.876,-10.006,-12.336,-10.366
4940,4.64,-2.49,0.12,0.81,6,-13.836,-5.866,-6.666,-5.916,-7.906,-8.006,-7.016,-7.036,-9.646,-9.346,-7.916,-9.046,-8.906,-8.556,-7.536,-10.066,-11.406,-12.666,-12.906,-13.676,-12.706,-10.166,-11.886,-10.426
6920,3.17,-2.4,-0.16,2.49,6,-13.836,-6.196,-6.256,-5.806,-8.386,-8.056,-7.106,-6.806,-9.746,-9.056,-8.186,-8.596,-8.976,-8.576,-6.856,-10.166,-10.946,-12.046,-13.376,-13.756,-12.636,-9.726,-11.436,-10.166
4490,0.21,-2.46,-0.2,1.56,6,-13.836,-6.236,-6.406,-5.896,-7.986,-7.656,-6.936,-7.386,-9.366,-9.176,-8.556,-9.136,-8.446,-8.016,-7.076,-10.486,-11.666,-12.526,-12.956,-13.556,-12.256,-9.906,-11.836,-10.536
5720,1.64,-2.45,-0.39,1.59,7,-13.836,-5.946,-6.376,-5.446,-7.846,-8.196,-7.286,-6.676,-9.746,-9.096,-8.576,-8.526,-8.966,-8.336,-7.686,-10.306,-11.196,-12.766,-13.736,-13.476,-12.736,-10.136,-11.656,-9.966
6070,1.05,-2.41,0.32,1.89,7,-13.836,-5.996,-6.766,-5.466,-7.946,-8.346,-6.446,-6.896,-9.686,-9.176,-7.906,-8.696,-8.466,-8.146,-7.126,-10.576,-11.146,-12.066,-13.416,-14.046,-11.756,-9.816,-11.916,-9.906
4510,1.83,-2.41,0.02,1.37,7,-13.836,-6.536,-6.586,-5.616,-7.986,-7.776,-6.556,-7.206,-9.846,-9.296,-8.416,-8.626,-9.016,-7.826,-6.916,-10.266,-11.786,-12.306,-13.596,-13.636,-12.066,-10.316,-11.516,-10.616
7490,2.13,-2.47,0.16,3.46,7,-13.836,-6.276,-7.126,-5.436,-7.916,-7.776,-7.056,-7.426,-10.056,-9.546,-7.736,-9.436,-8.466,-8.636,-7.576,-10.126,-11.496,-12.466,-13.516,-14.116,-12.356,-10.156,-11.716,-10.436
5220,2.49,-2.43,-0.06,1.3,7,-13.836,-6.486,-6.876,-5.616,-8.386,-8.376,-7.246,-7.086,-9.796,-9.046,-7.916,-8.806,-8.386,-8.626,-7.616,-10.026,-11.206,-12.376,-13.446,-13.556,-11.926,-9.906,-11.496,-10.086
5290,2.45,-2.46,-0.28,1.32,8,-13.836,-6.206,-6.436,-5.486,-8.586,-7.726,-7.306,-6.586,-9.446,-9.696,-8.366,-8.526,-9.096,-8.146,-7.626,-10.406,-10.936,-12.186,-13.566,-14.316,-12.036,-9.646,-11.946,-9.826
6220,4.1,-2.45,0.13,1.23,8,-13.836,-5.766,-6.376,-5.976,-8.156,-7.746,-6.676,-7.056,-9.186,-9.686,-8.146,-8.816,-8.566,-8.046,-7.076,-10.846,-11.056,-12.036,-13.516,-14.326,-12.646,-10.186,-11.466,-10.626
5480,4.88,-2.45,0.05,0.86,8,-13.836,-6.376,-6.296,-6.196,-8.546,-7.556,-6.496,-6.596,-9.486,-9.096,-8.476,-8.776,-9.066,-8.216,-7.196,-10.806,-10.926,-12.566,-13.286,-14.246,-12.186,-9.646,-12.286,-10.146
4730,2.37,-2.48,0.24,1.28,8,-13.836,-6.006,-6.336,-5.996,-8.516,-7.566,-6.846,-6.936,-9.416,-9.556,-7.806,-9.506,-8.466,-8.266,-6.916,-10.226,-11.766,-12.646,-13.506,-13.646,-12.636,-10.266,-12.196,-10.176
7100,1.97,-2.43,-0.01,2.89,9,-13.836,-6.546,-6.316,-5.996,-8.506,-7.866,-6.886,-6.956,-9.236,-9.796,-8.176,-8.786,-8.966,-8.316,-7.216,-10.276,-11.886,-12.356,-13.266,-13.696,-11.856,-10.106,-12.256,-10.566
4190,2.34,-2.45,0.18,1.41,9,-13.836,-6.496,-6.466,-5.516,-7.706,-8.486,-7.046,-6.866,-9.186,-9.736,-7.686,-8.746,-8.886,-8.206,-7.576,-10.626,-11.576,-12.286,-13.176,-14.356,-12.766,-9.926,-12.356,-9.786
4660,0.53,-2.43,0.13,1.5,9,-13.836,-5.956,-6.606,-5.496,-8.156,-7.886,-6.456,-6.666,-9.646,-9.346,-8.326,-8.776,-8.566,-7.816,-7.496,-10.436,-11.246,-12.206,-12.866,-14.366,-12.596,-9.706,-11.366,-10.256
4360,2.65,-2.46,0.22,1.31,10,-13.836,-6.376,-6.296,-5.356,-7.806,-8.316,-6.586,-6.666,-9.466,-9.476,-8.086,-8.896,-9.196,-8.346,-7.726,-10.426,-11.366,-11.866,-13.216,-13.666,-11.826,-10.276,-11.536,-10.426
4440,3.45,-2.47,0.08,1.19,10,-13.836,-6.336,-6.346,-6.226,-8.126,-7.806,-6.756,-6.576,-9.666,-9.696,-8.216,-9.216,-8.656,-8.066,-6.866,-10.186,-11.556,-12.816,-13.326,-14.146,-12.566,-9.676,-11.726,-10.526
5110,4.24,-2.44,0.46,0.88,3,-13.826,-6.256,-6.896,-5.606,-7.946,-7.826,-6.476,-7.376,-9.246,-8.896,-7.676,-9.256,-8.556,-8.446,-7.596,-9.986,-11.866,-12.746,-13.266,-14.006,-11.996,-9.726,-11.996,-10.106
7110,4.39,-2.42,-0.08,1.73,3,-13.826,-6.316,-6.176,-5.446,-8.406,-7.796,-7.366,-6.776,-9.226,-9.146,-7.806,-9.206,-8.706,-8.436,-7.066,-10.636,-11.386,-12.756,-13.076,-13.796,-11.826,-9.486,-12.306,-10.396
4580,4.4,-2.48,-0.2,0.84,3,-13.826,-6.356,-7.156,-5.426,-8.356,-8.236,-7.336,-6.726,-9.966,-9.836,-8.196,-8.996,-8.956,-8.016,-6.906,-10.416,-11.396,-12.076,-13.726,-13.856,-12.756,-10.306,-12.336,-10.476
5420,1.96,-2.5,-0.1,1.42,3,-13.826,-6.286,-6.906,-6.286,-8.446,-8.506,-6.936,-6.906,-9.226,-9.616,-8.436,-9.036,-8.776,-8.796,-7.736,-10.406,-11.106,-12.146,-12.906,-13.706,-12.686,-9.636,-11.936,-10.726
5270,3.8,-2.46,0.04,0.97,4,-13.826,-6.326,-6.666,-6.116,-8.086,-8.346,-6.766,-6.796,-9.546,-9.666,-8.256,-8.916,-9.016,-8.326,-6.846,-10.256,-11.476,-12.576,-13.586,-14.006,-11.876,-10.356,-11.626,-10.256
6770,3.5,-2.49,0.08,1.62,4,-13.826,-5.906,-6.396,-5.716,-8.606,-8.486,-6.496,-6.786,-9.566,-8.966,-8.506,-8.936,-9.276,-8.766,-7.326,-10.756,-11.376,-12.766,-13.116,-14.376,-11.926,-10.096,-11.946,-9.846
6510,2.92,-2.5,0.29,2.05,4,-13.826,-6.086,-6.846,-6.066,-7.756,-8.416,-6.866,-7.416,-9.496,-9.456,-7.736,-8.546,-8.726,-8.436,-7.806,-10.126,-11.716,-11.886,-13.186,-13.636,-12.556,-9.866,-12.386,-10.046
5450,3.05,-2.48,0.09,1.3,4,-13.826,-6.176,-6.236,-5.696,-8.676,-8.266,-6.656,-7.096,-10.016,-8.966,-8.306,-8.946,-8.516,-7.856,-7.236,-10.966,-11.886,-12.056,-12.986,-14.026,-12.586,-10.116,-12.206,-9.776
4320,2.29,-2.41,0.18,1.37,5,-13.826,-5.776,-6.256,-5.366,-8.626,-7.966,-6.546,-6.626,-9.946,-9.426,-8.096,-8.866,-9.216,-8.706,-7.296,-10.946,-11.666,-11.766,-13.046,-13.766,-12.576,-9.896,-11.566,-10.196
5370,0.87,-2.5,-0.12,1.53,5,-13.826,-5.966,-7.016,-5.696,-8.396,-7.846,-7.336,-7.066,-9.556,-9.006,-8.096,-9.206,-9.376,-8.766,-7.536,-10.906,-11.416,-12.396,-13.176,-14.046,-11.916,-9.536,-11.506,-10.076
4580,1.72,-2.47,-0.33,1.37,5,-13.826,-6.376,-6.976,-5.656,-8.606,-7.966,-7.326,-7.086,-9.776,-9.486,-8.456,-8.576,-8.546,-8.126,-7.556,-10.756,-11.436,-12.006,-13.586,-14.306,-12.576,-9.436,-11.726,-10.286
5610,1.26,-2.39,0.02,1.58,6,-13.826,-5.956,-6.376,-5.766,-8.356,-7.776,-6.986,-7.076,-9.596,-9.326,-7.946,-8.766,-8.626,-7.726,-6.866,-10.646,-11.556,-12.296,-13.236,-13.536,-11.836,-9.726,-12.016,-10.276
4720,3.64,-2.44,-0.38,0.95,6,-13.826,-6.556,-6.716,-5.496,-8.516,-7.826,-7.416,-7.016,-10.036,-9.856,-8.396,-8.916,-8.476,-7.806,-7.446,-10.066,-11.776,-12.346,-12.946,-13.806,-12.626,-9.816,-11.906,-10.626
5190,1.36,-2.41,0.05,1.43,6,-13.826,-5.946,-6.776,-5.836,-8.166,-8.176,-6.936,-7.076,-9.496,-9.726,-7.956,-8.496,-9.006,-7.816,-6.806,-10.336,-11.316,-11.786,-13.636,-13.736,-11.916,-9.696,-11.696,-10.526
4970,1.16,-2.49,0.23,1.42,6,-13.826,-6.526,-6.956,-6.056,-7.746,-8.366,-6.876,-6.536,-9.326,-9.436,-7.826,-9.026,-8.806,-8.376,-7.106,-10.246,-11.386,-12.146,-13.066,-13.546,-12.806,-10.076,-11.766,-10.056
5310,1.38,-2.42,-0.03,1.46,6,-13.826,-6.276,-6.366,-6.156,-8.446,-7.556,-7.216,-6.906,-9.986,-9.716,-7.866,-9.446,-8.996,-8.106,-7.396,-10.226,-10.886,-11.946,-12.796,-13.796,-12.256,-9.526,-11.836,-10.306
5070,1.02,-2.43,-0.4,1.45,6,-13.826,-6.436,-6.756,-5.966,-7.956,-7.746,-7.286,-7.246,-9.586,-9.166,-8.556,-9.106,-9.156,-8.636,-7.046,-10.936,-11.586,-12.356,-13.746,-13.716,-11.906,-9.556,-11.536,-10.326
5250,2.13,-2.4,-0.14,1.35,6,-13.826,-5.946,-6.566,-5.656,-7.806,-7.986,-6.826,-6.586,-9.556,-9.766,-8.436,-9.176,-8.356,-7.946,-7.426,-10.306,-11.016,-12.746,-13.506,-14.146,-12.166,-9.406,-12.076,-10.186
4720,0.16,-2.45,0.39,1.53,7,-13.826,-5.676,-6.866,-6.016,-8.036,-8.216,-6.486,-6.706,-9.826,-9.796,-7.816,-9.176,-9.236,-8.176,-7.636,-10.096,-11.326,-12.276,-12.926,-13.506,-12.266,-9.696,-12.116,-10.026
5250,1.5,-2.49,0.02,1.43,7,-13.826,-6.276,-6.246,-6.086,-8.716,-8.266,-7.426,-7.366,-9.396,-9.636,-7.696,-9.006,-8.736,-7.986,-6.846,-10.496,-11.326,-12.806,-13.266,-14.036,-12.336,-9.806,-11.896,-9.976
7110,3.87,-2.49,0.0,1.8,8,-13.826,-6.076,-6.626,-5.416,-8.196,-7.806,-6.656,-6.576,-9.406,-9.266,-8.506,-8.846,-8.486,-8.396,-6.966,-10.446,-11.576,-11.996,-13.006,-13.846,-12.156,-9.536,-11.986,-10.626
4720,5.01,-2.42,0.16,0.75,9,-13.826,-5.726,-6.496,-6.116,-8.176,-8.416,-6.446,-6.736,-9.196,-8.876,-8.266,-8.866,-8.536,-8.396,-7.486,-10.466,-11.686,-12.226,-13.456,-13.886,-12.326,-10.276,-11.796,-10.496
6480,1.94,-2.43,0.32,2.15,9,-13.826,-5.866,-6.806,-5.436,-7.666,-8.196,-6.456,-6.576,-9.656,-9.596,-7.936,-9.056,-8.386,-7.746,-7.486,-10.416,-11.366,-12.306,-12.816,-13.736,-12.676,-10.206,-12.346,-9.746
7420,1.84,-2.45,-0.16,3.38,10,-13.826,-6.316,-7.006,-5.666,-8.536,-7.996,-7.176,-7.416,-9.206,-9.376,-8.236,-8.596,-8.536,-8.416,-7.386,-10.546,-11.836,-12.316,-13.466,-13.626,-11.996,-9.706,-12.186,-10.366
7200,2.33,-2.47,-0.16,2.98,10,-13.826,-6.606,-6.426,-5.826,-7.826,-8.426,-7.386,-6.606,-10.026,-9.166,-8.056,-8.926,-9.116,-8.496,-7.236,-10.406,-10.976,-11.946,-13.506,-14.246,-12.166,-9.496,-11.726,-10.216
5970,3.49,-2.43,0.01,1.51,2,-13.816,-5.876,-6.966,-5.956,-8.246,-8.366,-6.636,-6.486,-9.656,-8.906,-8.396,-9.166,-8.336,-8.196,-7.076,-10.696,-11.566,-12.186,-13.426,-13.866,-12.436,-9.716,-11.406,-10.346
4040,1.45,-2.4,0.05,1.59,2,-13.816,-5.846,-7.036,-5.896,-7.736,-8.436,-7.226,-6.436,-9.586,-9.636,-7.656,-9.046,-8.686,-7.966,-6.896,-10.906,-11.006,-12.586,-13.316,-13.596,-11.856,-9.806,-12.066,-10.036
5890,3.78,-2.45,-0.05,1.14,2,-13.816,-6.126,-7.036,-5.966,-8.366,-8.376,-6.616,-7.066,-9.356,-8.976,-8.566,-8.556,-8.736,-8.226,-7.656,-10.096,-11.386,-12.756,-13.726,-13.936,-12.496,-9.996,-12.036,-10.076
5730,4.08,-2.4,-0.05,1.04,3,-13.816,-6.106,-6.496,-5.296,-7.726,-7.906,-7.256,-6.396,-9.956,-9.406,-7.826,-9.216,-8.386,-7.876,-7.266,-10.146,-11.306,-12.386,-13.626,-13.746,-12.436,-10.226,-11.826,-10.276
6030,3.88,-2.49,0.35,1.18,3,-13.816,-5.736,-6.266,-6.136,-8.576,-8.276,-6.506,-7.416,-9.206,-9.536,-7.956,-9.276,-8.476,-7.886,-7.496,-10.056,-11.896,-12.036,-13.476,-14.416,-12.606,-9.886,-11.626,-10.126
5210,3.31,-2.42,0.12,1.19,3,-13.816,-6.156,-6.246,-5.746,-8.186,-7.596,-6.666,-7.246,-9.856,-9.466,-8.116,-8.746,-8.536,-8.466,-7.606,-10.336,-11.116,-12.606,-12.816,-14.396,-11.806,-9.686,-12.346,-10.316
7880,1.97,-2.5,-0.11,4.16,4,-13.816,-6.166,-6.846,-5.516,-8.546,-8.456,-7.026,-6.856,-9.606,-9.436,-8.366,-9.236,-8.986,-8.026,-7.126,-10.736,-10.976,-11.866,-12.926,-13.556,-12.706,-10.176,-11.946,-10.316
7570,3.76,-2.41,-0.03,2.18,4,-13.816,-6.416,-6.166,-5.916,-8.286,-7.676,-6.776,-6.666,-9.856,-9.756,-8.286,-8.506,-8.626,-7.866,-7.076,-10.626,-11.466,-12.706,-12.926,-13.856,-11.906,-10.036,-11.576,-10.496
4960,0.77,-2.45,-0.07,1.46,4,-13.816,-5.986,-6.956,-6.046,-8.356,-7.606,-7.406,-6.536,-9.516,-9.466,-7.816,-8.946,-8.656,-8.536,-6.846,-10.956,-11.856,-12.736,-13.546,-14.336,-12.266,-9.646,-11.436,-10.436
4150,1.43,-2.5,0.02,1.54,5,-13.816,-6.106,-6.246,-6.316,-7.976,-8.276,-6.916,-7.176,-9.136,-9.426,-8.236,-8.746,-9.166,-7.976,-7.056,-10.376,-11.056,-12.066,-13.736,-13.566,-11.996,-10.366,-11.956,-9.866
7430,2.65,-2.45,-0.22,3.3,5,-13.816,-5.946,-6.786,-5.366,-8.026,-8.216,-7.286,-6.466,-9.566,-9.616,-8.246,-8.876,-9.066,-8.686,-7.016,-10.356,-11.476,-12.136,-13.446,-13.926,-12.326,-9.666,-12.146,-9.816
5350,3.79,-2.41,0.29,0.98,5,-13.816,-6.426,-6.626,-6.056,-7.726,-7.636,-6.656,-6.526,-9.326,-9.686,-7.766,-8.686,-8.816,-8.626,-7.266,-10.426,-11.866,-11.996,-12.776,-14.036,-12.246,-9.776,-11.396,-10.066
5490,2.08,-2.47,-0.02,1.43,5,-13.816,-6.376,-7.166,-6.286,-7.896,-7.866,-7.196,-6.996,-10.056,-8.976,-7.976,-9.246,-8.606,-8.386,-7.286,-10.946,-11.156,-12.636,-13.016,-13.526,-12.406,-9.696,-11.526,-10.276
4620,1.1,-2.42,0.06,1.44,5,-13.816,-5.576,-6.186,-6.096,-7.656,-8.156,-6.426,-7.016,-9.946,-9.306,-8.476,-9.006,-8.896,-8.286,-7.186,-10.386,-11.166,-12.246,-12.826,-13.766,-12.296,-9.426,-11.806,-10.566
4650,1.46,-2.47,-0.2,1.39,5,-13.816,-6.386,-6.556,-6.236,-8.666,-8.166,-6.986,-6.706,-9.566,-8.966,-8.526,-8.536,-9.106,-8.436,-7.666,-10.316,-11.176,-12.326,-12.906,-13.936,-12.136,-10.136,-12.346,-10.306
5460,1.54,-2.48,-0.03,1.49,5,-13.816,-6.386,-6.926,-6.326,-7.846,-7.606,-6.556,-6.646,-9.506,-9.666,-8.636,-8.956,-8.536,-8.736,-7.096,-10.036,-11.726,-12.646,-13.556,-13.746,-12.086,-10.126,-12.096,-10.386
7030,2.71,-2.39,-0.41,2.7,6,-13.816,-6.446,-7.076,-5.466,-7.676,-7.896,-7.336,-7.006,-9.726,-9.326,-8.446,-8.966,-8.556,-7.866,-7.566,-10.366,-11.826,-12.186,-13.086,-13.936,-12.716,-9.296,-11.926,-10.626
5390,4.86,-2.42,-0.18,0.84,6,-13.816,-5.766,-7.066,-6.236,-7.986,-8.106,-7.026,-7.386,-9.716,-9.486,-8.366,-9.436,-9.156,-8.316,-7.316,-10.616,-11.616,-11.836,-12.836,-13.896,-12.296,-10.086,-11.726,-9.756
7130,3.01,-2.5,-0.29,2.8,6,-13.816,-5.676,-7.126,-5.926,-8.696,-8.356,-7.066,-7.366,-9.136,-9.606,-8.696,-8.616,-8.726,-7.976,-7.386,-10.926,-11.116,-12.616,-13.406,-14.446,-12.386,-10.226,-11.616,-10.606
5220,2.15,-2.45,-0.18,1.34,6,-13.816,-5.616,-6.886,-6.296,-8.186,-8.446,-7.176,-7.006,-9.096,-8.876,-8.266,-8.696,-8.906,-8.406,-6.816,-10.236,-11.096,-12.586,-13.326,-14.216,-12.196,-10.036,-11.806,-10.426
5400,0.37,-2.41,0.26,1.59,6,-13.816,-5.986,-6.216,-5.826,-7.956,-7.926,-6.526,-7.186,-9.256,-9.106,-7.946,-9.366,-9.276,-8.626,-7.736,-10.486,-10.886,-12.186,-12.776,-14.346,-12.206,-10.106,-11.576,-10.316
4080,0.03,-2.47,0.04,1.72,6,-13.816,-5.896,-6.416,-5.456,-8.066,-8.446,-7.216,-7.206,-9.576,-9.076,-7.826,-8.756,-9.036,-7.976,-6.936,-10.846,-11.226,-12.126,-13.646,-14.326,-12.376,-9.406,-11.776,-10.216
5500,1.79,-2.39,-0.34,1.47,7,-13.816,-5.556,-7.036,-5.326,-8.176,-7.496,-7.336,-7.276,-9.106,-9.776,-8.296,-8.856,-9.036,-8.056,-7.066,-10.676,-10.956,-12.706,-13.206,-13.616,-12.386,-9.996,-12.046,-10.396
5090,0.84,-2.39,0.0,1.47,7,-13.816,-6.486,-6.266,-5.546,-8.016,-8.446,-6.666,-6.526,-9.416,-9.666,-8.286,-8.556,-8.446,-8.286,-7.076,-10.796,-11.786,-12.556,-13.146,-13.576,-11.876,-9.396,-12.146,-9.866
5160,2.14,-2.49,-0.02,1.33,7,-13.816,-5.876,-6.726,-5.346,-8.026,-8.136,-7.476,-6.556,-9.726,-9.596,-7.726,-8.556,-9.326,-8.396,-7.286,-10.066,-11.126,-12.766,-13.726,-14.046,-11.906,-9.466,-12.156,-10.136
5090,4.94,-2.39,-0.12,0.77,8,-13.816,-6.156,-6.286,-5.516,-8.006,-7.486,-7.066,-7.166,-9.716,-8.886,-8.146,-8.766,-9.246,-8.676,-6.916,-10.336,-11.246,-12.386,-13.556,-13.856,-12.626,-9.856,-11.386,-10.206
4100,5.03,-2.39,0.04,0.75,9,-13.816,-6.066,-6.616,-6.086,-8.436,-7.546,-6.836,-6.686,-9.326,-9.576,-8.056,-8.776,-9.186,-8.106,-7.246,-10.446,-11.346,-12.196,-13.686,-14.186,-12.176,-9.346,-11.906,-10.486
5260,1.48,-2.46,0.05,1.43,9,-13.816,-6.116,-6.826,-6.156,-7.746,-8.426,-6.786,-7.346,-9.616,-9.876,-8.216,-8.636,-8.606,-8.756,-7.486,-10.026,-11.796,-11.946,-13.036,-14.366,-12.126,-9.686,-11.696,-10.246
4270,1.6,-2.42,0.2,1.47,9,-13.816,-6.546,-7.016,-6.196,-7.836,-7.736,-6.716,-6.656,-9.366,-8.916,-7.906,-9.356,-9.166,-8.186,-7.396,-10.806,-11.746,-12.646,-13.746,-14.256,-11.836,-9.976,-12.296,-9.786
4580,1.48,-2.41,0.06,1.4,9,-13.816,-6.436,-6.296,-5.516,-8.026,-8.436,-6.716,-6.906,-10.016,-9.156,-8.156,-8.756,-8.976,-7.856,-6.946,-10.466,-11.226,-12.366,-12.776,-14.026,-12.256,-10.246,-12.256,-10.076
4760,4.49,-2.46,-0.11,0.83,10,-13.816,-6.426,-6.736,-5.516,-8.586,-7.786,-7.246,-7.256,-9.696,-9.796,-8.076,-8.636,-8.786,-8.176,-7.236,-10.276,-11.276,-12.686,-13.016,-13.496,-12.766,-9.416,-11.446,-9.926
5420,1.14,-2.5,0.15,1.52,10,-13.816,-6.486,-6.706,-5.556,-7.886,-8.196,-6.856,-6.676,-9.866,-9.356,-8.026,-9.206,-8.646,-8.386,-7.206,-10.956,-11.086,-12.306,-13.196,-14.176,-11.906,-9.566,-12.206,-10.346
5840,4.4,-2.44,-0.26,1.03,2,-13.806,-5.666,-6.826,-5.656,-8.416,-8.226,-7.246,-7.226,-9.286,-8.906,-8.336,-8.936,-8.426,-7.936,-6.986,-10.636,-11.266,-12.616,-12.806,-13.906,-12.446,-9.666,-11.406,-10.606
5330,3.52,-2.43,0.03,1.02,2,-13.806,-6.566,-6.346,-5.826,-7.926,-8.376,-7.056,-7.126,-9.276,-9.146,-7.916,-8.776,-8.636,-8.616,-7.216,-10.626,-11.616,-12.076,-13.046,-14.216,-12.166,-9.736,-11.416,-9.996
5500,3.73,-2.4,-0.03,1.03,3,-13.806,-5.876,-6.386,-5.516,-8.316,-8.106,-6.786,-7.206,-9.386,-9.216,-8.256,-9.206,-8.416,-8.546,-7.506,-9.986,-10.976,-12.646,-12.816,-14.396,-11.896,-10.206,-11.856,-9.896
6790,3.23,-2.4,0.26,2.33,3,-13.806,-5.836,-6.116,-5.746,-8.426,-7.866,-6.766,-6.836,-9.756,-8.986,-7.706,-8.816,-9.126,-8.466,-7.426,-10.196,-10.946,-12.636,-13.116,-14.006,-12.186,-9.476,-11.346,-10.286
6570,1.15,-2.45,0.03,2.33,3,-13.806,-6.426,-7.036,-5.826,-8.416,-7.626,-6.926,-6.836,-9.966,-9.786,-8.096,-9.246,-8.476,-8.246,-7.056,-10.676,-11.346,-11.836,-12.916,-14.156,-12.656,-9.966,-12.116,-10.176
4380,1.01,-2.39,0.09,1.5,3,-13.806,-6.096,-6.316,-5.726,-8.166,-7.766,-7.016,-6.956,-9.486,-9.026,-7.766,-8.796,-8.806,-8.186,-7.506,-10.746,-11.776,-11.946,-12.906,-14.196,-12.706,-9.516,-11.436,-10.146
4280,1.98,-2.43,0.05,1.42,3,-13.806,-6.036,-6.286,-5.546,-8.076,-7.876,-7.216,-7.276,-9.396,-9.096,-7.736,-9.416,-8.466,-8.306,-7.436,-10.096,-11.046,-12.566,-13.186,-13.796,-12.236,-9.946,-11.906,-10.556
5450,0.8,-2.39,0.26,1.57,3,-13.806,-5.716,-6.576,-5.246,-7.816,-7.656,-6.586,-7.346,-9.106,-9.536,-7.866,-9.286,-8.416,-7.856,-6.766,-10.906,-11.176,-11.826,-13.686,-13.536,-12.056,-9.526,-11.556,-10.546
4630,0.24,-2.46,-0.03,1.53,4,-13.806,-6.306,-6.536,-5.556,-8.126,-7.546,-6.666,-6.976,-9.246,-8.886,-8.496,-9.246,-8.506,-7.996,-7.016,-10.376,-11.556,-12.576,-12.916,-13.576,-12.736,-9.526,-11.506,-9.916
5430,0.8,-2.4,-0.06,1.56,5,-13.806,-6.256,-6.536,-6.196,-8.626,-8.096,-6.586,-6.866,-9.116,-9.276,-8.516,-8.586,-8.626,-7.856,-7.626,-10.716,-11.336,-11.806,-13.056,-13.646,-12.516,-9.936,-12.086,-9.826
4150,2.37,-2.41,-0.18,1.43,5,-13.806,-5.946,-6.626,-5.696,-7.706,-7.736,-6.776,-6.866,-9.106,-9.796,-8.586,-8.676,-8.966,-8.186,-7.556,-10.756,-10.886,-12.536,-13.556,-13.846,-12.006,-9.886,-12.216,-10.176
